INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,SCHELPER_SYSTEM,CATEGORY_ID,CATEGORY_NAME,POSSIBILITY_SYSTEM,STORED_PROCEDURE_SPECIFIED,TIME_STORE,OTHER_COMPANY_CLS,ATTENDANCE_SYSTEM,RECOVERY_STORAGE_RANGE,PAYMENT_AVAILABILITY,STORAGE_RANGE_SAVED
,,,,,,,,0,1,00101,会社マスタ,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00102,名称マスタ,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00103,雇用マスタ,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00104,分類マスタ,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00105,職位マスタ,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00106,部門・職場マスタ,1,0,0,1,1,1,1,1
,,,,,,,,0,1,00107,勤務種別マスタ,1,0,0,0,1,1,1,0
,,,,,,,,0,1,00121,権限マスタ,1,0,1,0,1,1,1,0
,,,,,,,,0,1,00122,メニューマスタ,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00131,休暇設定マスタ,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00132,年休付与マスタ,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00133,特別休暇マスタ,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00141,勤務種類マスタ,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00142,就業時間帯マスタ,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00143,計算式,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00144,回数集計,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00181,前準備-スケジュール,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00182,前準備-実績,1,0,0,0,1,1,1,0
,,,,,,,,0,1,00183,前準備-申請,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00301,個人情報マスタ,1,0,0,0,1,1,1,0
,,,,,,,,0,1,00302,個人情報関連マスタ,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00303,職場管理者,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00304,承認者マスタ,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00305,代行者マスタ,1,0,0,0,1,1,1,1
,,,,,,,,0,1,00401,月間パターン,1,0,1,0,1,1,1,1
,,,,,,,,0,1,00501,スケデータ,1,0,1,0,1,1,1,0
,,,,,,,,0,1,00502,打刻データ,1,0,1,0,1,1,1,1
,,,,,,,,0,1,00503,日次データ,1,0,1,0,1,1,1,0
,,,,,,,,0,1,00504,週次データ,1,0,2,0,1,1,1,0
,,,,,,,,0,1,00505,月次データ,1,0,2,0,1,1,1,0
,,,,,,,,0,1,00506,任意データ,1,0,0,0,1,1,1,0
,,,,,,,,0,1,00507,３６データ,1,0,2,0,1,1,1,0
,,,,,,,,0,1,00508,スケデータログ,1,0,1,0,1,1,1,0
,,,,,,,,0,1,00601,日次残数データ,1,0,1,0,1,1,1,0
,,,,,,,,0,1,00602,月次残数データ,1,0,2,0,1,1,1,0
,,,,,,,,0,1,00991,外部入出力,1,0,0,0,1,1,1,1
