INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,LANGUAGE_ID,SYSTEM_ID,CLASS_ID,RESOURCE_ID,CONTENT,RESOURCE_TYPE
,,,,,,,,0,"en","C","CAS001","1","",1
,,,,,,,,0,"en","C","CAS001","10","",1
,,,,,,,,0,"en","C","CAS001","11","",1
,,,,,,,,0,"en","C","CAS001","12","",1
,,,,,,,,0,"en","C","CAS001","13","",1
,,,,,,,,0,"en","C","CAS001","14","",1
,,,,,,,,0,"en","C","CAS001","15","",1
,,,,,,,,0,"en","C","CAS001","16","",1
,,,,,,,,0,"en","C","CAS001","17","",1
,,,,,,,,0,"en","C","CAS001","18","",1
,,,,,,,,0,"en","C","CAS001","19","",1
,,,,,,,,0,"en","C","CAS001","2","",1
,,,,,,,,0,"en","C","CAS001","20","",1
,,,,,,,,0,"en","C","CAS001","21","",1
,,,,,,,,0,"en","C","CAS001","22","",1
,,,,,,,,0,"en","C","CAS001","23","",1
,,,,,,,,0,"en","C","CAS001","24","",1
,,,,,,,,0,"en","C","CAS001","25","",1
,,,,,,,,0,"en","C","CAS001","26","",1
,,,,,,,,0,"en","C","CAS001","27","",1
,,,,,,,,0,"en","C","CAS001","28","",1
,,,,,,,,0,"en","C","CAS001","29","",1
,,,,,,,,0,"en","C","CAS001","3","",1
,,,,,,,,0,"en","C","CAS001","30","",1
,,,,,,,,0,"en","C","CAS001","31","",1
,,,,,,,,0,"en","C","CAS001","32","",1
,,,,,,,,0,"en","C","CAS001","33","",1
,,,,,,,,0,"en","C","CAS001","34","",1
,,,,,,,,0,"en","C","CAS001","35","",1
,,,,,,,,0,"en","C","CAS001","36","",1
,,,,,,,,0,"en","C","CAS001","37","",1
,,,,,,,,0,"en","C","CAS001","38","",1
,,,,,,,,0,"en","C","CAS001","39","",1
,,,,,,,,0,"en","C","CAS001","4","",1
,,,,,,,,0,"en","C","CAS001","40","",1
,,,,,,,,0,"en","C","CAS001","41","",1
,,,,,,,,0,"en","C","CAS001","42","",1
,,,,,,,,0,"en","C","CAS001","43","",1
,,,,,,,,0,"en","C","CAS001","44","",1
,,,,,,,,0,"en","C","CAS001","45","",1
,,,,,,,,0,"en","C","CAS001","46","",1
,,,,,,,,0,"en","C","CAS001","47","",1
,,,,,,,,0,"en","C","CAS001","48","",1
,,,,,,,,0,"en","C","CAS001","49","",1
,,,,,,,,0,"en","C","CAS001","5","",1
,,,,,,,,0,"en","C","CAS001","50","",1
,,,,,,,,0,"en","C","CAS001","51","",1
,,,,,,,,0,"en","C","CAS001","52","",1
,,,,,,,,0,"en","C","CAS001","53","",1
,,,,,,,,0,"en","C","CAS001","54","",1
,,,,,,,,0,"en","C","CAS001","55","",1
,,,,,,,,0,"en","C","CAS001","56","",1
,,,,,,,,0,"en","C","CAS001","57","",1
,,,,,,,,0,"en","C","CAS001","58","",1
,,,,,,,,0,"en","C","CAS001","59","",1
,,,,,,,,0,"en","C","CAS001","6","",1
,,,,,,,,0,"en","C","CAS001","60","",1
,,,,,,,,0,"en","C","CAS001","61","",1
,,,,,,,,0,"en","C","CAS001","62","",1
,,,,,,,,0,"en","C","CAS001","63","",1
,,,,,,,,0,"en","C","CAS001","64","",1
,,,,,,,,0,"en","C","CAS001","65","",1
