INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,M_ATD_ITEM_ID,CALCULABLE
,,,,,,,,0,"000000000000","000000000000-0000",3,false
,,,,,,,,0,"000000000000","000000000000-0000",4,true
,,,,,,,,0,"000000000000","000000000000-0000",5,true
,,,,,,,,0,"000000000000","000000000000-0000",6,true
,,,,,,,,0,"000000000000","000000000000-0000",12,true
,,,,,,,,0,"000000000000","000000000000-0000",13,true
,,,,,,,,0,"000000000000","000000000000-0000",14,true
,,,,,,,,0,"000000000000","000000000000-0000",15,true
,,,,,,,,0,"000000000000","000000000000-0000",16,true
,,,,,,,,0,"000000000000","000000000000-0000",17,true
,,,,,,,,0,"000000000000","000000000000-0000",18,true
,,,,,,,,0,"000000000000","000000000000-0000",19,true
,,,,,,,,0,"000000000000","000000000000-0000",20,true
,,,,,,,,0,"000000000000","000000000000-0000",21,true
,,,,,,,,0,"000000000000","000000000000-0000",30,true
,,,,,,,,0,"000000000000","000000000000-0000",31,true
,,,,,,,,0,"000000000000","000000000000-0000",32,true
,,,,,,,,0,"000000000000","000000000000-0000",33,true
,,,,,,,,0,"000000000000","000000000000-0000",34,true
,,,,,,,,0,"000000000000","000000000000-0000",35,true
,,,,,,,,0,"000000000000","000000000000-0000",36,true
,,,,,,,,0,"000000000000","000000000000-0000",37,true
,,,,,,,,0,"000000000000","000000000000-0000",38,true
,,,,,,,,0,"000000000000","000000000000-0000",39,true
,,,,,,,,0,"000000000000","000000000000-0000",40,true
,,,,,,,,0,"000000000000","000000000000-0000",41,true
,,,,,,,,0,"000000000000","000000000000-0000",42,true
,,,,,,,,0,"000000000000","000000000000-0000",43,true
,,,,,,,,0,"000000000000","000000000000-0000",44,true
,,,,,,,,0,"000000000000","000000000000-0000",45,true
,,,,,,,,0,"000000000000","000000000000-0000",46,true
,,,,,,,,0,"000000000000","000000000000-0000",47,true
,,,,,,,,0,"000000000000","000000000000-0000",48,true
,,,,,,,,0,"000000000000","000000000000-0000",49,true
,,,,,,,,0,"000000000000","000000000000-0000",50,true
,,,,,,,,0,"000000000000","000000000000-0000",51,true
,,,,,,,,0,"000000000000","000000000000-0000",52,true
,,,,,,,,0,"000000000000","000000000000-0000",53,true
,,,,,,,,0,"000000000000","000000000000-0000",54,true
,,,,,,,,0,"000000000000","000000000000-0000",55,true
,,,,,,,,0,"000000000000","000000000000-0000",56,true
,,,,,,,,0,"000000000000","000000000000-0000",57,true
,,,,,,,,0,"000000000000","000000000000-0000",58,true
,,,,,,,,0,"000000000000","000000000000-0000",59,true
,,,,,,,,0,"000000000000","000000000000-0000",60,true
,,,,,,,,0,"000000000000","000000000000-0000",61,true
,,,,,,,,0,"000000000000","000000000000-0000",62,true
,,,,,,,,0,"000000000000","000000000000-0000",63,true
,,,,,,,,0,"000000000000","000000000000-0000",64,true
,,,,,,,,0,"000000000000","000000000000-0000",65,true
,,,,,,,,0,"000000000000","000000000000-0000",66,true
,,,,,,,,0,"000000000000","000000000000-0000",67,true
,,,,,,,,0,"000000000000","000000000000-0000",90,true
,,,,,,,,0,"000000000000","000000000000-0000",91,true
,,,,,,,,0,"000000000000","000000000000-0000",92,true
,,,,,,,,0,"000000000000","000000000000-0000",93,true
,,,,,,,,0,"000000000000","000000000000-0000",94,true
,,,,,,,,0,"000000000000","000000000000-0000",95,true
,,,,,,,,0,"000000000000","000000000000-0000",96,true
,,,,,,,,0,"000000000000","000000000000-0000",97,true
,,,,,,,,0,"000000000000","000000000000-0000",98,true
,,,,,,,,0,"000000000000","000000000000-0000",99,true
,,,,,,,,0,"000000000000","000000000000-0000",110,true
,,,,,,,,0,"000000000000","000000000000-0000",111,true
,,,,,,,,0,"000000000000","000000000000-0000",112,true
,,,,,,,,0,"000000000000","000000000000-0000",113,true
,,,,,,,,0,"000000000000","000000000000-0000",114,true
,,,,,,,,0,"000000000000","000000000000-0000",115,true
,,,,,,,,0,"000000000000","000000000000-0000",116,true
,,,,,,,,0,"000000000000","000000000000-0000",117,true
,,,,,,,,0,"000000000000","000000000000-0000",118,true
,,,,,,,,0,"000000000000","000000000000-0000",119,true
,,,,,,,,0,"000000000000","000000000000-0000",120,true
,,,,,,,,0,"000000000000","000000000000-0000",121,true
,,,,,,,,0,"000000000000","000000000000-0000",122,true
,,,,,,,,0,"000000000000","000000000000-0000",123,true
,,,,,,,,0,"000000000000","000000000000-0000",124,true
,,,,,,,,0,"000000000000","000000000000-0000",125,true
,,,,,,,,0,"000000000000","000000000000-0000",126,true
,,,,,,,,0,"000000000000","000000000000-0000",127,true
,,,,,,,,0,"000000000000","000000000000-0000",128,true
,,,,,,,,0,"000000000000","000000000000-0000",129,true
,,,,,,,,0,"000000000000","000000000000-0000",130,true
,,,,,,,,0,"000000000000","000000000000-0000",131,true
,,,,,,,,0,"000000000000","000000000000-0000",132,true
,,,,,,,,0,"000000000000","000000000000-0000",133,true
,,,,,,,,0,"000000000000","000000000000-0000",134,true
,,,,,,,,0,"000000000000","000000000000-0000",135,true
,,,,,,,,0,"000000000000","000000000000-0000",136,true
,,,,,,,,0,"000000000000","000000000000-0000",137,true
,,,,,,,,0,"000000000000","000000000000-0000",138,true
,,,,,,,,0,"000000000000","000000000000-0000",139,true
,,,,,,,,0,"000000000000","000000000000-0000",140,true
,,,,,,,,0,"000000000000","000000000000-0000",141,true
,,,,,,,,0,"000000000000","000000000000-0000",142,true
,,,,,,,,0,"000000000000","000000000000-0000",143,true
,,,,,,,,0,"000000000000","000000000000-0000",144,true
,,,,,,,,0,"000000000000","000000000000-0000",145,true
,,,,,,,,0,"000000000000","000000000000-0000",146,true
,,,,,,,,0,"000000000000","000000000000-0000",147,true
,,,,,,,,0,"000000000000","000000000000-0000",148,true
,,,,,,,,0,"000000000000","000000000000-0000",149,true
,,,,,,,,0,"000000000000","000000000000-0000",150,true
,,,,,,,,0,"000000000000","000000000000-0000",151,true
,,,,,,,,0,"000000000000","000000000000-0000",152,true
,,,,,,,,0,"000000000000","000000000000-0000",153,true
,,,,,,,,0,"000000000000","000000000000-0000",154,true
,,,,,,,,0,"000000000000","000000000000-0000",155,true
,,,,,,,,0,"000000000000","000000000000-0000",156,true
,,,,,,,,0,"000000000000","000000000000-0000",157,true
,,,,,,,,0,"000000000000","000000000000-0000",158,true
,,,,,,,,0,"000000000000","000000000000-0000",159,true
,,,,,,,,0,"000000000000","000000000000-0000",160,true
,,,,,,,,0,"000000000000","000000000000-0000",161,true
,,,,,,,,0,"000000000000","000000000000-0000",162,true
,,,,,,,,0,"000000000000","000000000000-0000",163,true
,,,,,,,,0,"000000000000","000000000000-0000",164,true
,,,,,,,,0,"000000000000","000000000000-0000",165,true
,,,,,,,,0,"000000000000","000000000000-0000",166,true
,,,,,,,,0,"000000000000","000000000000-0000",167,true
,,,,,,,,0,"000000000000","000000000000-0000",168,true
,,,,,,,,0,"000000000000","000000000000-0000",169,true
,,,,,,,,0,"000000000000","000000000000-0000",170,true
,,,,,,,,0,"000000000000","000000000000-0000",171,true
,,,,,,,,0,"000000000000","000000000000-0000",172,true
,,,,,,,,0,"000000000000","000000000000-0000",173,true
,,,,,,,,0,"000000000000","000000000000-0000",174,true
,,,,,,,,0,"000000000000","000000000000-0000",175,true
,,,,,,,,0,"000000000000","000000000000-0000",176,true
,,,,,,,,0,"000000000000","000000000000-0000",177,true
,,,,,,,,0,"000000000000","000000000000-0000",178,true
,,,,,,,,0,"000000000000","000000000000-0000",179,true
,,,,,,,,0,"000000000000","000000000000-0000",180,true
,,,,,,,,0,"000000000000","000000000000-0000",181,true
,,,,,,,,0,"000000000000","000000000000-0000",182,true
,,,,,,,,0,"000000000000","000000000000-0000",183,true
,,,,,,,,0,"000000000000","000000000000-0000",184,true
,,,,,,,,0,"000000000000","000000000000-0000",185,true
,,,,,,,,0,"000000000000","000000000000-0000",186,true
,,,,,,,,0,"000000000000","000000000000-0000",187,true
,,,,,,,,0,"000000000000","000000000000-0000",188,true
,,,,,,,,0,"000000000000","000000000000-0000",189,true
,,,,,,,,0,"000000000000","000000000000-0000",190,true
,,,,,,,,0,"000000000000","000000000000-0000",191,true
,,,,,,,,0,"000000000000","000000000000-0000",202,true
,,,,,,,,0,"000000000000","000000000000-0000",203,true
,,,,,,,,0,"000000000000","000000000000-0000",204,true
,,,,,,,,0,"000000000000","000000000000-0000",205,true
,,,,,,,,0,"000000000000","000000000000-0000",206,true
,,,,,,,,0,"000000000000","000000000000-0000",208,true
,,,,,,,,0,"000000000000","000000000000-0000",209,true
,,,,,,,,0,"000000000000","000000000000-0000",210,true
,,,,,,,,0,"000000000000","000000000000-0000",213,true
,,,,,,,,0,"000000000000","000000000000-0000",214,true
,,,,,,,,0,"000000000000","000000000000-0000",215,true
,,,,,,,,0,"000000000000","000000000000-0000",216,true
,,,,,,,,0,"000000000000","000000000000-0000",239,true
,,,,,,,,0,"000000000000","000000000000-0000",240,true
,,,,,,,,0,"000000000000","000000000000-0000",241,true
,,,,,,,,0,"000000000000","000000000000-0000",242,true
,,,,,,,,0,"000000000000","000000000000-0000",243,true
,,,,,,,,0,"000000000000","000000000000-0000",244,true
,,,,,,,,0,"000000000000","000000000000-0000",245,true
,,,,,,,,0,"000000000000","000000000000-0000",246,true
,,,,,,,,0,"000000000000","000000000000-0000",247,true
,,,,,,,,0,"000000000000","000000000000-0000",248,true
,,,,,,,,0,"000000000000","000000000000-0000",249,true
,,,,,,,,0,"000000000000","000000000000-0000",250,true
,,,,,,,,0,"000000000000","000000000000-0000",251,true
,,,,,,,,0,"000000000000","000000000000-0000",252,true
,,,,,,,,0,"000000000000","000000000000-0000",253,true
,,,,,,,,0,"000000000000","000000000000-0000",254,true
,,,,,,,,0,"000000000000","000000000000-0000",255,true
,,,,,,,,0,"000000000000","000000000000-0000",256,true
,,,,,,,,0,"000000000000","000000000000-0000",257,true
,,,,,,,,0,"000000000000","000000000000-0000",258,true
,,,,,,,,0,"000000000000","000000000000-0000",259,true
,,,,,,,,0,"000000000000","000000000000-0000",260,true
,,,,,,,,0,"000000000000","000000000000-0000",261,true
,,,,,,,,0,"000000000000","000000000000-0000",262,true
,,,,,,,,0,"000000000000","000000000000-0000",263,true
,,,,,,,,0,"000000000000","000000000000-0000",264,true
,,,,,,,,0,"000000000000","000000000000-0000",265,true
,,,,,,,,0,"000000000000","000000000000-0000",266,true
,,,,,,,,0,"000000000000","000000000000-0000",267,true
,,,,,,,,0,"000000000000","000000000000-0000",268,true
,,,,,,,,0,"000000000000","000000000000-0000",269,true
,,,,,,,,0,"000000000000","000000000000-0000",270,true
,,,,,,,,0,"000000000000","000000000000-0000",271,true
,,,,,,,,0,"000000000000","000000000000-0000",272,true
,,,,,,,,0,"000000000000","000000000000-0000",273,true
,,,,,,,,0,"000000000000","000000000000-0000",274,true
,,,,,,,,0,"000000000000","000000000000-0000",275,true
,,,,,,,,0,"000000000000","000000000000-0000",276,true
,,,,,,,,0,"000000000000","000000000000-0000",277,true
,,,,,,,,0,"000000000000","000000000000-0000",278,true
,,,,,,,,0,"000000000000","000000000000-0000",279,true
,,,,,,,,0,"000000000000","000000000000-0000",280,true
,,,,,,,,0,"000000000000","000000000000-0000",281,true
,,,,,,,,0,"000000000000","000000000000-0000",282,true
,,,,,,,,0,"000000000000","000000000000-0000",283,true
,,,,,,,,0,"000000000000","000000000000-0000",284,true
,,,,,,,,0,"000000000000","000000000000-0000",285,true
,,,,,,,,0,"000000000000","000000000000-0000",286,true
,,,,,,,,0,"000000000000","000000000000-0000",287,true
,,,,,,,,0,"000000000000","000000000000-0000",288,true
,,,,,,,,0,"000000000000","000000000000-0000",289,true
,,,,,,,,0,"000000000000","000000000000-0000",290,true
,,,,,,,,0,"000000000000","000000000000-0000",291,true
,,,,,,,,0,"000000000000","000000000000-0000",292,true
,,,,,,,,0,"000000000000","000000000000-0000",293,true
,,,,,,,,0,"000000000000","000000000000-0000",294,true
,,,,,,,,0,"000000000000","000000000000-0000",295,true
,,,,,,,,0,"000000000000","000000000000-0000",296,true
,,,,,,,,0,"000000000000","000000000000-0000",297,true
,,,,,,,,0,"000000000000","000000000000-0000",298,true
,,,,,,,,0,"000000000000","000000000000-0000",299,true
,,,,,,,,0,"000000000000","000000000000-0000",300,true
,,,,,,,,0,"000000000000","000000000000-0000",303,true
,,,,,,,,0,"000000000000","000000000000-0000",304,true
,,,,,,,,0,"000000000000","000000000000-0000",305,true
,,,,,,,,0,"000000000000","000000000000-0000",306,true
,,,,,,,,0,"000000000000","000000000000-0000",307,true
,,,,,,,,0,"000000000000","000000000000-0000",312,true
,,,,,,,,0,"000000000000","000000000000-0000",313,true
,,,,,,,,0,"000000000000","000000000000-0000",314,true
,,,,,,,,0,"000000000000","000000000000-0000",315,true
,,,,,,,,0,"000000000000","000000000000-0000",316,true
,,,,,,,,0,"000000000000","000000000000-0000",317,true
,,,,,,,,0,"000000000000","000000000000-0000",318,true
,,,,,,,,0,"000000000000","000000000000-0000",319,true
,,,,,,,,0,"000000000000","000000000000-0000",320,true
,,,,,,,,0,"000000000000","000000000000-0000",321,true
,,,,,,,,0,"000000000000","000000000000-0000",322,true
,,,,,,,,0,"000000000000","000000000000-0000",323,true
,,,,,,,,0,"000000000000","000000000000-0000",324,true
,,,,,,,,0,"000000000000","000000000000-0000",325,true
,,,,,,,,0,"000000000000","000000000000-0000",326,true
,,,,,,,,0,"000000000000","000000000000-0000",327,true
,,,,,,,,0,"000000000000","000000000000-0000",328,true
,,,,,,,,0,"000000000000","000000000000-0000",329,true
,,,,,,,,0,"000000000000","000000000000-0000",330,true
,,,,,,,,0,"000000000000","000000000000-0000",331,true
,,,,,,,,0,"000000000000","000000000000-0000",332,true
,,,,,,,,0,"000000000000","000000000000-0000",333,true
,,,,,,,,0,"000000000000","000000000000-0000",334,true
,,,,,,,,0,"000000000000","000000000000-0000",335,true
,,,,,,,,0,"000000000000","000000000000-0000",336,true
