INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,ATTENDANCE_ITEM_ID,WORK_DAILY,WORK_ATTENDANCE,ATD_WORK_DAILY,ATD_WORK_ATTENDANCE,WORK_SUPPORT
,,,,,,,,0,"000000000000","000000000000-0000",1,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",2,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",3,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",4,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",5,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",6,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",7,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",8,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",9,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",10,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",11,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",12,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",13,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",14,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",15,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",16,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",17,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",18,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",19,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",20,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",21,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",22,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",23,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",24,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",25,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",26,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",27,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",28,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",29,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",30,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",31,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",32,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",33,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",34,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",35,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",36,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",37,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",38,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",39,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",40,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",41,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",42,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",43,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",44,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",45,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",46,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",47,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",48,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",49,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",50,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",51,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",52,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",53,true,true,true,true,false
,,,,,,,,0,"000000000000","000000000000-0000",54,true,true,true,true,false
